id;name
160729029892_562733833921525;أكبر قرصنة في تاريخ الإنترنت.. #ياهو تكشف سرقة بيانات 500 مليون حساب ولا تستبعد وقوف إحدى الدول وراء هذه العملية
562733833921525_562736773921231;اللهم صلى وسلم وبارك على سيدنا محمد صلاة تأتى بها برزق وفرج وترفع بها عنا كل ضيق ومقت وحرج بجاه من صلى بالأنبياء ثم عرج صلاة ماصلاها مهموماً إلا انفرج وعلى اله وصحبه وسلم اللهم امين جمعة مبارك  اللهم لا تحرمنا وإياكم من الأجر العظيم واجمعنا وإياكم فى الجنة ..  أستغفر الله ... أستغفر الله
562733833921525_562734593921449;استغلو دقيقة من وقتكم في ترديد سبحان الله و الحمد لله و لا اله الا الله و الله اكبر
562733833921525_562734127254829;دولة الاحتلال المزعومة  او امريكا  في غيرهم بتجسسو متل الحرامية على الناس !
562733833921525_562736037254638;😮 ليش ما يحلوا مشكلةالاختراقات ما في خصوصية ولا امان على الانترنت ما في حماية للمستخدم بسهولة صارت تم عمليات القرصنة
562733833921525_562736860587889;Waleed Homsiتخمين حسابي منن ، مع انو و الله لحد هلا متاكد انو انا ما عندي حساب عل الياهو بس بجوز عاملو من زمان و نسيان
562733833921525_562736643921244;مصر أم الدنيا كما يقال،أرضها تعطرت بأقدام اﻻنبياء و الرسل،مركز اﻷمة اﻹسلامية،أرض العلم و العلماء و الدعاة،انظروا إلى الحالة التي وصلت إليها اليوم كارثة دينية بكل المقايس،فأين هم دعاة مصر من هذا المنظر الكارثي أين هو محمد حسان و يعقوب المنصور وغيرهم أين ؟ والله الحمد الشعب المغربي رغم الفساد مازال مثشبت بكتاب الله وسنة رسوله وأنا أتكلم عن اﻷغلبية وجاء هذا على لسان أحد كبار الدعاة الحمد لله..  قال رسول الله عليه الصلاة و السلام "اﻹسلام بدأ غريبا و سيعود غريبا"
562733833921525_562733920588183;الجزيرة❤️
562733833921525_562736170587958;هلاء تفطتنتوا تحكوااا؟؟؟😬 من سنتين هالحكي  بكّير ..ههههه
562733833921525_562736447254597;انا واحد منهم  بس لو اعرف من هيه الدوله
562733833921525_562736310587944;الصين الشعبية أو روسيا الجربه مايهم حسابي بلا رصيد وكمان مديون 😂😂
562733833921525_562734000588175;اكلنا ككا
562733833921525_562735450588030;انفضحنه😂
562733833921525_562735957254646;مواقع تواصل الاجتماعي كلها اسرائيليه بامتياز
562733833921525_562734287254813;نظرية المؤامرة صدعتو رؤوسنا فيها
562733833921525_562736537254588;ايران الشر ولارهاب والكفر ولالحادوسفك الدماء
562733833921525_562734713921437;Ahmad Ahmad شو يا قيس؟؟؟؟
562733833921525_562736610587914;فنّ إغتصاب العقول .. قصة واقعية.. في نيودلهي كان سفير بريطانيا يمرُّ بسيارته مع قنصل المملكة حين رأى شابا جامعيا يركل بقرة..أمر السفير سائقه بأن يتوقف بسرعة، وترجّل من السيارة مُسرعا صوب البقرة "المقدسة" يدفع عنها الشاب صارخا في وجهه، ويمسّد على جسدها طلبا الصفح والمغفرة وسط دهشة المارّة الذين إجتمعوا بعد سماع صراخه .. ووسط ذهول الحاضرين إغتسل السفير البريطاني ببول البقرة، ومسح به وجهه فما كان من المارة إلا أن يسجدوا تقديرا لربّهم البقرة، ذلك الربُّ الذي سجد له الغريب .. وقد أتوا بعدها بالشاب الذي ركلها ليسحقوه أمام البقرة انتقاما لقدس مقامها ورفعة جلالها. وبربطته وقميصه المُبلل بالبول وشعره المنثور عاد السفير ليركب سيارة السفارة إلى جانب القنصل الذي بادره السؤال عن سبب مافعله وهل هو مقتنع حقا بعقيدة عبادة البقر؟؟ أجابه السفير: ركلة الشاب للبقرة هي صحوة وركلة للعقيدة التي نريدها! ولو سمحنا للهنود بركل العقائد، لتقدمت الهند 50 عاما إلى الأمام. وحينها سنخسر وجودنا ومصالحنا الحيوية .. فواجبنا الوظيفي هنا، أن لا نسمح بذلك أبدا؛ لأننا نُدرك بأن الجهل والخرافة وسفاهة العقيدة هي جيوشنا في تسخير المجتمعات .
562733833921525_562734337254808;Yadi Ghozlan
562733833921525_562734833921425;Hassan Helmy
562733833921525_562736157254626;Karam Assaf
562733833921525_562736767254565;Ahmad Alomari
562733833921525_562734940588081;Samir Lakardi
562733833921525_562736360587939;Ayoub Ch
562733833921525_562734723921436;قطر لصالح اسرائيل
562733833921525_562733943921514;#قطر_بنت_الوسخه
160729029892_10154770479204893;شكل جديد للموت في #مصر بعد المعتقلات والتعذيب عبر قوارب الهجرة لأناس أجبرهم الفقر على ركوب البحر  
تقرير: فتحي إسماعيل
10154770479204893_10154770546739893;فرعون اتهم موسى بأنه (حزبي) فقال : "إن هؤلاء لشرذمة قليلون    وإنهم لنا لغائظون" !! ولعب على وتر ( الدين ) فقال :  "إني أخاف أن يبدل دينكم  أو أن يظهر في الأرض الفساد" !!  وصرح بوجود ( مؤامرة دولية ) على بلاده فقال : "إن هذا لمكر مكرتموه في المدينة لتخرجوا منها أهلها" !! واتهم موسى (بالتخابر) مع دول اجنبية فقال : "إن هذا إﻻ إفك افتراه وأعانه عليه قوم آخرون" ..  وطلب من عبيده (التفويض) بقتل موسى فقال : "ذروني اقتل موسى" !!!  وقاد (حملة إعلامية) شرسة واتهامات فقال :  "إن هذا لساحر مبين" ...  واستعان (بالسحر ) واشترطوا عليه : "قالوا إن لنا لأجرا إن كنا نحن الغالبين" ..  ووافق على الفور وعرض عليهم (أعلى المناصب) فقال : "نعم وإنكم لمن المقربين" !!! وكعادة هؤلاء المرتزقة (فعنتريّتهم) تكون على النساء والأطفال فقال :  "سنقتل أبناءهم ونستحيي نساءهم وإنا فوقهم قاهرون" ..  فهل أنتهت هنا القصة ؟!   لا .. فبعد كل هذا التضليل يبقى موسى عليه السلام هو موسى ...  وفرعون الطاغية هو فرعون .. ولا بد للقصة من نهاية سواء طالت أم قصرت ..  فنهاية الظلم معروفة : "عسى ربكم أن يهلك عدوكم ويستخلفكم في الأرض فينظر كيف تعملون"  وأخيراً.... : "أنجينا موسى ومن معه أجمعين ثم أغرقنا الآخرين" .  "إن في ذلك لآية وما كان أكثرهم مؤمنين"...  فما اشبه الليلة بالبارحة .. نماذج تتكرر ولكن البعض ﻻ يتعظ اويعتبر ..اللهم بصرنا واهدنا صراطك المستقيم ونعوذ بك ان نكون للظالمين نصيرا !!!
